,researchExp,toeflScore,GRE_Total,CGPA,University
296,0.0,104.21251509054326,313,8.95,University of Utah
297,0.0,104.0,312,8.149999999999999,University of Utah
298,0.0,88.0,316,8.25,University of Utah
299,36.0,104.21251509054326,304,8.0,University of Utah
300,0.0,110.0,312,7.5,University of Utah
301,0.0,110.0,311,8.95,University of Utah
302,0.0,112.0,330,6.5,University of Utah
303,0.0,95.0,305,6.5,University of Utah
304,0.0,104.21251509054326,317,6.75,University of Utah
305,0.0,104.21251509054326,322,8.875,University of Utah
306,0.0,95.0,306,8.325,University of Utah
307,0.0,110.0,321,6.625,University of Utah
308,0.0,102.0,307,7.5,University of Utah
309,0.0,103.0,313,8.149999999999999,University of Utah
310,0.0,106.0,316,8.55,University of Utah
311,0.0,115.0,327,7.925,University of Utah
312,0.0,99.0,310,6.875,University of Utah
313,0.0,107.0,312,6.75,University of Utah
314,0.0,111.0,323,8.8,University of Utah
315,0.0,103.0,316,8.325,University of Utah
316,0.0,107.0,317,7.125,University of Utah
317,0.0,91.0,307,8.725000000000001,University of Utah
318,0.0,116.0,318,9.85,University of Utah
319,0.0,110.0,314,8.95,University of Utah
320,0.0,107.0,319,8.65,University of Utah
321,0.0,115.0,328,7.925,University of Utah
322,0.0,111.0,316,8.475,University of Utah
323,2.0,100.0,311,8.475,University of Utah
324,0.0,97.0,314,8.55,University of Utah
325,0.0,108.0,308,7.925,University of Utah
326,0.0,111.0,324,9.675,University of Utah
327,0.0,108.0,314,7.925,University of Utah
328,0.0,100.0,307,8.65,University of Utah
329,24.0,119.0,322,9.125,University of Utah
330,0.0,101.0,298,8.875,University of Utah
331,0.0,106.0,315,9.45,University of Utah
332,0.0,104.21251509054326,303,7.125,University of Utah
333,0.0,104.0,318,8.475,University of Utah
334,0.0,108.0,315,7.8500000000000005,University of Utah
335,0.0,90.0,311,8.0,University of Utah
336,0.0,107.0,310,8.725000000000001,University of Utah
337,0.0,57.0,308,8.95,University of Utah
338,0.0,112.0,319,7.125,University of Utah
339,0.0,119.0,329,7.8500000000000005,University of Utah
340,0.0,105.0,325,7.75,University of Utah
341,0.0,117.0,329,8.25,University of Utah
342,0.0,106.0,312,8.95,University of Utah
343,0.0,101.0,320,8.4,University of Utah
344,0.0,107.0,314,7.25,University of Utah
345,0.0,101.0,321,9.350000000000001,University of Utah
346,0.0,113.0,317,8.25,University of Utah
347,0.0,107.0,314,8.325,University of Utah
348,0.0,104.21251509054326,309,7.925,University of Utah
349,3.0,101.0,314,7.75,University of Utah
350,0.0,118.0,332,9.75,University of Utah
351,0.0,107.0,319,8.475,University of Utah
352,0.0,116.0,321,9.85,University of Utah
353,18.0,110.0,322,8.475,University of Utah
354,0.0,110.0,310,8.0,University of Texas at Dallas
355,0.0,109.0,313,7.8500000000000005,University of Texas at Dallas
356,0.0,90.0,312,8.55,University of Texas at Dallas
357,0.0,107.0,308,6.625,University of Texas at Dallas
358,0.0,108.0,314,8.149999999999999,University of Texas at Dallas
359,0.0,104.0,321,8.4,University of Texas at Dallas
360,0.0,102.0,314,9.125,University of Texas at Dallas
361,0.0,106.0,312,8.149999999999999,University of Texas at Dallas
362,0.0,102.0,301,7.675,University of Texas at Dallas
363,0.0,111.0,323,6.0,University of Texas at Dallas
364,0.0,107.0,314,8.875,University of Texas at Dallas
365,0.0,113.0,319,7.675,University of Texas at Dallas
366,0.0,100.0,312,8.149999999999999,University of Texas at Dallas
367,0.0,110.0,319,8.25,University of Texas at Dallas
368,0.0,97.0,312,7.75,University of Texas at Dallas
369,0.0,99.0,309,8.325,University of Texas at Dallas
370,0.0,81.0,310,6.375,University of Texas at Dallas
371,0.0,116.0,323,9.05,University of Texas at Dallas
372,0.0,92.0,313,7.125,University of Texas at Dallas
373,0.0,107.0,312,8.0,University of Texas at Dallas
374,0.0,87.0,307,9.5,University of Texas at Dallas
375,0.0,108.0,315,8.875,University of Texas at Dallas
376,0.0,101.0,315,8.475,University of Texas at Dallas
377,0.0,108.0,310,8.149999999999999,University of Texas at Dallas
378,0.0,108.0,322,8.075,University of Texas at Dallas
379,0.0,100.0,320,6.625,University of Texas at Dallas
380,0.0,105.0,327,7.25,University of Texas at Dallas
381,0.0,96.0,304,8.075,University of Texas at Dallas
382,0.0,105.0,314,7.375,University of Texas at Dallas
